,month,city,state,aqi,missing_aqi
1251,January,jalore,rajasthan,180.16129032258064,0.0
1252,January,jhalawar,rajasthan,196.5,0.03225806451612903
1253,January,jhansi,uttar pradesh,118.06451612903226,0.0
1254,January,jhunjhunu,rajasthan,209.61290322580646,0.0
1255,January,jind,haryana,158.96666666666667,0.03225806451612903
1256,January,jodhpur,rajasthan,160.25806451612902,0.0
1257,January,jorapokhar,jharkhand,,1.0
1258,January,kadapa,andhra pradesh,53.30769230769231,0.16129032258064516
1259,January,kaithal,haryana,167.0,0.0967741935483871
1260,January,kalaburagi,karnataka,52.4,0.03225806451612903
1261,January,kalyan,maharashtra,114.72413793103448,0.06451612903225806
1262,January,kanchipuram,tamil nadu,99.83333333333333,0.8064516129032258
1263,January,kannur,kerala,60.785714285714285,0.0967741935483871
1264,January,kanpur,uttar pradesh,151.16129032258064,0.0
1265,January,karauli,rajasthan,265.57142857142856,0.0967741935483871
1266,January,karnal,haryana,128.10344827586206,0.06451612903225806
1267,January,karur,tamil nadu,,1.0
1268,January,karwar,karnataka,86.74193548387096,0.0
1269,January,kashipur,uttarakhand,173.37037037037038,0.12903225806451613
1270,January,katihar,bihar,201.17857142857142,0.0967741935483871
1271,January,katni,madhya pradesh,133.41379310344828,0.06451612903225806
1272,January,keonjhar,odisha,207.72413793103448,0.06451612903225806
1273,January,khanna,punjab,116.13333333333334,0.03225806451612903
1274,January,khurja,uttar pradesh,106.33333333333333,0.03225806451612903
1275,January,kishanganj,bihar,220.3448275862069,0.06451612903225806
1276,January,kochi,kerala,113.45454545454545,0.6451612903225806
1277,January,kohima,nagaland,100.35483870967742,0.0
1278,January,kolar,karnataka,84.53571428571429,0.0967741935483871
1279,January,kolhapur,maharashtra,133.29032258064515,0.0
1280,January,kolkata,west bengal,224.93548387096774,0.0
1281,January,kollam,kerala,129.375,0.22580645161290322
1282,January,koppal,karnataka,104.71428571428571,0.3225806451612903
1283,January,korba,chhattisgarh,76.87096774193549,0.0
1284,January,kota,rajasthan,245.4516129032258,0.0
1285,January,kozhikode,kerala,,1.0
1286,January,kunjemura,chhattisgarh,142.96774193548387,0.0
1287,January,kurukshetra,haryana,183.3548387096774,0.0
1288,January,latur,maharashtra,120.22222222222223,0.12903225806451613
1289,January,lucknow,uttar pradesh,180.25806451612902,0.0
1290,January,ludhiana,punjab,171.53333333333333,0.03225806451612903
1291,January,madikeri,karnataka,46.9,0.03225806451612903
1292,January,madurai,tamil nadu,,1.0
