,Name,Location,District,State,Region,Coordinates,Unit capacities,Capacity(MW),Operator,Sector
117,Raichur Thermal Power Station,Shaktinagar,Raichur,Karnataka,Southern,16°21′20″N 77°20′36″E﻿ / ﻿16.35556°N 77.34333°E﻿ / 16.35556; 77.34333﻿ (Raichur Thermal Power Station),"7 x 210, 1 x 250","1,720",KPCL,State
118,Kothagudem Thermal Power Station,Paloncha,Khammam,Telangana,Southern,17°37′18″N 80°41′15″E﻿ / ﻿17.62167°N 80.68750°E﻿ / 17.62167; 80.68750﻿ (Kothagudem Thermal Power Station),"4 x 60$, 4 x 120$, 2 x 250, 1 x 500, 1 x 800","1,800",TSGENCO,State
119,Sri Damodaram Sanjeevaiah Thermal Power Station,Krishnapatnam,Nellore,Andhra Pradesh,Southern,14°19′39″N 80°07′15″E﻿ / ﻿14.32750°N 80.12083°E﻿ / 14.32750; 80.12083﻿ (Sri Damodaram Sanjeevaiah Thermal Power Station),2 x 800,"1,600",APPDCL,State
120,Vallur Thermal Power Station,Vallur,Chennai,Tamil Nadu,Southern,,3 x 500,"1,500",NTPC & TNEB,State & central
121,Sembcorp Gayatri Power Complex[25],Krishnapatnam,Nellore,Andhra Pradesh,Southern,14°19′45″N 80°08′27″E﻿ / ﻿14.32917°N 80.14083°E﻿ / 14.32917; 80.14083﻿ (Sembcorp Gayatri Power Complex),4 x 660,"2,640",SGPC,Private
122,Udupi Power Plant,Nandicoor,Udupi,Karnataka,Southern,13°08′49″N 74°48′02″E﻿ / ﻿13.14694°N 74.80056°E﻿ / 13.14694; 74.80056﻿ (Udupi Thermal Power Plant),2 x 600,"1,200",Adani Power[26],Private
123,Singareni Thermal Power Plant,Pegadapalli,Mancherial,Telangana,Southern,,2 x 600,"1,200",Singareni Collieries Company,PSU
124,Adani Thermal Power Plant,Godda,Godda,Jharkhand,Eastern,,2 x 660,"1,320",Adani Power Jharkhand Limited,Private
125,Tuticorin Thermal Power Station,Tuticorin,Tuticorin,Tamil Nadu,Southern,08°45′44″N 78°10′32″E﻿ / ﻿8.76222°N 78.17556°E﻿ / 8.76222; 78.17556﻿ (Tuticorin Thermal Power Station),5 x 210,"1,050",TNEB,State
126,Rayalaseema Thermal Power Station[27],Kadapa,Kadapa,Andhra Pradesh,Southern,14°42′14″N 78°27′29″E﻿ / ﻿14.70389°N 78.45806°E﻿ / 14.70389; 78.45806﻿ (Rayalaseema Thermal Power Station),5 x 210,"1,050",APGENCO,State
127,Neyveli Thermal Power Station I,Neyveli,Cuddalore,Tamil Nadu,Southern,11°35′34″N 79°28′17″E﻿ / ﻿11.59278°N 79.47139°E﻿ / 11.59278; 79.47139﻿ (Neyveli Thermal Power Station - I),"6 x 50$, 3 x 100$, 2 x 210",420,NLC,Central
