,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in City,Registered Vehicles in State,Farming Area (sq. km in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Coal Capacity (Max Electricity ouput in MW),Gas Capacity (Max Electricity ouput in MW),aqi,missing_aqi,AQI Category
72,odisha,cuttack,580000,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,11852.5,0.0,270.16129032258067,0.0,Poor
73,madhya pradesh,damoh,118776,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,289.41,1000.72,59.4,2.08,0.03,15.07,245.0,15720.0,0.0,74.5,0.41935483870967744,Satisfactory
75,rajasthan,dausa,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.26,1014.19,62.41,1.99,0.0,19.91,180.23,4955.0,856.8,200.58064516129033,0.0,Poor
76,karnataka,davanagere,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.48,980.1,57.84,3.4,0.06,30.69,169.54,7080.0,0.0,72.63333333333334,0.03225806451612903,Satisfactory
77,uttarakhand,dehradun,,11795000.0,53483.0,24305.0,,2898982.0,94.7,403301.0,3463.0,0.0,282.41,946.61,64.17,1.65,0.05,29.06,181.46,0.0,900.0,230.10714285714286,0.0967741935483871,Poor
78,delhi,delhi,10927986,21884000.0,1483.0,195.0,621219,11892877.0,133.1,39475.0,0.0,0.0,286.22,1015.6,80.84,2.31,0.01,30.56,141.31,0.0,2208.4,354.83870967741933,0.0,Very Poor
79,madhya pradesh,dewas,261218,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,290.21,1000.62,55.71,2.54,0.01,12.31,244.15,15720.0,0.0,131.66666666666666,0.12903225806451613,Moderate
80,jharkhand,dhanbad,219636,40129000.0,79716.0,23721.0,60880,5064983.0,128.6,4436052.0,6449.0,0.0,290.48,1007.18,57.16,2.32,0.02,17.99,225.08,6627.5,0.0,168.1,0.03225806451612903,Moderate
81,haryana,dharuhera,,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.7,1012.12,68.42,2.29,0.01,22.34,188.62,4065.0,430.0,206.86206896551724,0.06451612903225806,Poor
82,karnataka,dharwad,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.65,983.56,57.19,2.92,0.0,21.49,169.77,7080.0,0.0,88.86666666666666,0.03225806451612903,Satisfactory
83,rajasthan,dholpur,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,287.62,1013.89,67.55,2.12,0.02,15.14,237.85,4955.0,856.8,256.1666666666667,0.03225806451612903,Poor
84,maharashtra,dhule,,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,294.72,1007.36,48.67,2.37,0.01,12.78,258.23,16750.0,3460.0,136.83870967741936,0.0,Moderate
86,rajasthan,dungarpur,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.21,990.47,53.6,2.13,0.0,11.04,252.0,4955.0,856.8,159.93548387096774,0.0,Moderate
87,west bengal,durgapur,518872,99723000.0,88752.0,16832.0,,10915952.0,600.6,10188842.0,0.0,65.66,291.12,1017.3,63.41,2.32,0.01,15.71,202.92,12145.0,80.0,201.10344827586206,0.06451612903225806,Poor
88,kerala,eloor,,35967000.0,38852.0,21253.0,,14184184.0,512.0,1322850.0,21464.0,35.37,299.87,1013.71,72.9,2.4,0.08,37.15,99.62,0.0,516.5799999999999,55.22727272727273,0.2903225806451613,Satisfactory
90,haryana,faridabad,1220229,30694000.0,44212.0,1603.0,1859240,8599668.0,823.3,1528133.0,13780.0,0.0,286.29,1015.61,69.65,2.33,0.01,25.56,170.08,4065.0,430.0,292.51612903225805,0.0,Poor
91,haryana,fatehabad,,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.62,1011.46,63.43,2.26,0.03,21.11,214.92,4065.0,430.0,151.11111111111111,0.12903225806451613,Moderate
92,uttar pradesh,firozabad,306409,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,287.4,1014.14,67.97,2.31,0.02,15.07,240.38,16608.0,1469.0,114.70967741935483,0.0,Moderate
93,karnataka,gadag,162569,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.73,985.08,55.16,3.27,0.0,23.94,174.92,7080.0,0.0,59.111111111111114,0.12903225806451613,Satisfactory
94,gujarat,gandhinagar,195985,72653000.0,196244.0,14926.0,,26836981.0,518.3,6839415.0,36727.0,553.92,292.56,1015.03,55.98,2.4,0.0,10.41,237.62,15592.0,7990.72,106.3225806451613,0.0,Moderate
95,sikkim,gangtok,,697000.0,7096.0,3341.0,,54106.0,169.1,25986.0,0.0,0.0,282.96,956.82,69.19,1.37,0.03,35.62,150.15,0.0,0.0,48.25806451612903,0.0,Good
96,bihar,gaya,423692,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.42,1013.79,71.25,2.13,0.07,28.07,163.69,10040.0,0.0,217.06451612903226,0.0,Poor
97,uttar pradesh,ghaziabad,1199191,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.23,1015.5,69.74,2.4,0.01,26.08,165.15,16608.0,1469.0,293.8709677419355,0.0,Poor
98,uttar pradesh,gorakhpur,674246,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,288.12,1017.31,70.39,2.46,0.02,16.02,220.77,16608.0,1469.0,130.82758620689654,0.06451612903225806,Moderate
99,uttar pradesh,greater_noida,,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.64,1014.65,68.46,2.39,0.01,22.95,184.77,16608.0,1469.0,315.1290322580645,0.0,Very Poor
100,tamil nadu,gummidipoondi,,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,,,,,,,,12160.0,1013.49,169.41935483870967,0.0,Moderate
101,haryana,gurugram,,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.26,1015.53,80.44,2.29,0.01,30.27,145.92,4065.0,430.0,251.96774193548387,0.0,Poor
102,assam,guwahati,899094,36159000.0,78438.0,28312.0,,4358529.0,350.5,1845346.0,6425.0,0.0,290.29,1013.53,79.85,1.48,0.01,35.35,85.77,0.0,479.2,263.4516129032258,0.0,Poor
103,madhya pradesh,gwalior,882458,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,287.84,1010.77,64.53,2.05,0.01,14.95,225.62,15720.0,0.0,208.32258064516128,0.0,Poor
104,bihar,hajipur,133606,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,287.96,1016.49,81.04,1.88,0.15,32.19,125.0,10040.0,0.0,200.96153846153845,0.16129032258064516,Poor
105,west bengal,haldia,170695,99723000.0,88752.0,16832.0,,10915952.0,600.6,10188842.0,0.0,65.66,293.15,1019.76,60.34,2.58,0.01,18.58,232.85,12145.0,80.0,141.03333333333333,0.03225806451612903,Moderate
106,rajasthan,hanumangarh,155687,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,286.91,1012.88,58.98,2.15,0.01,20.47,213.62,4955.0,856.8,312.2903225806452,0.0,Very Poor
107,uttar pradesh,hapur,242920,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.68,1014.74,70.28,2.57,0.01,23.27,183.69,16608.0,1469.0,209.1,0.03225806451612903,Poor
