,City,Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Latitude,Longitude
131,hanumangarh,286.91,1012.88,58.98,2.15,0.01,20.47,213.62,29.5760254,74.3342203
132,bharatpur,287.28,1011.09,67.76,2.14,0.01,15.23,245.15,27.2154447,77.4986962
133,bikaner,287.82,1010.68,53.19,2.44,0.01,15.52,237.92,28.0159286,73.3171367
134,jalore,289.95,1009.66,46.29,2.55,0.0,9.66,272.62,25.3476006,72.6260916
135,bhiwadi,286.7,1012.12,68.42,2.29,0.01,22.34,188.62,28.2039413,76.837441
136,sikar,287.07,998.73,51.29,2.35,0.01,14.74,244.08,27.6091864,75.1395503
137,karauli,287.94,1007.24,59.63,2.07,0.01,13.27,249.69,26.4956,77.0275
138,bhilwara,288.45,997.63,55.78,2.18,0.01,11.1,243.69,25.348,74.636
139,alwar,286.71,1005.53,62.25,1.9,0.02,16.11,236.85,27.5645949,76.6132248
140,bundi,289.01,1002.57,58.11,1.95,0.01,11.46,259.54,25.4416137,75.6375815
141,dausa,288.26,1014.19,62.41,1.99,0.0,19.91,180.23,26.893342,76.3376514
142,chittorgarh,288.95,998.1,55.94,2.22,0.01,10.72,246.69,24.8837157,74.6244155
143,barmer,289.48,1007.93,45.37,2.84,0.01,10.59,269.46,25.745304,71.3998217
144,jaipur,288.26,1014.19,62.41,1.99,0.0,19.91,180.23,26.9154576,75.8189817
145,jaisalmer,288.53,1018.04,54.28,2.55,0.01,15.87,220.38,26.9116615,70.9124888
146,pratapgarh,289.66,997.52,56.23,2.7,0.01,9.96,263.23,24.0333495,74.7801315
147,sawai_madhopur,288.22,1007.09,59.9,1.87,0.01,11.66,258.46,26.0188919,76.3522441
148,jhalawar,289.01,1002.57,58.11,1.95,0.01,11.46,259.54,24.5931704,76.1664528
149,jhunjhunu,287.08,1005.17,53.22,2.29,0.01,16.72,233.15,28.1287995,75.3992581
150,nagaur,287.82,1010.68,53.19,2.44,0.01,15.52,237.92,27.2000843,73.7377453
151,ajmer,288.02,997.69,51.28,2.29,0.01,11.37,265.92,26.4691,74.639
152,rajsamand,288.21,990.47,53.6,2.13,0.0,11.04,252.0,25.0585825,73.8880816
153,jodhpur,289.48,1007.93,45.37,2.84,0.01,10.59,269.46,26.2967719,73.0351433
